,sa2_name16, sa2_code_2016, median_aud,income_level
206,Wandin - Seville,211051285,38187.0,1.0
207,Yarra Valley,211051286,36362.0,1.0
208,Beaconsfield - Officer,212011287,43827.0,2.0
209,Bunyip - Garfield,212011288,37024.0,1.0
210,Emerald - Cockatoo,212011289,40606.0,2.0
211,Koo Wee Rup,212011290,35931.0,1.0
212,Pakenham - South,212011292,41926.0,2.0
213,Berwick - North,212021293,42846.0,2.0
214,Berwick - South,212021294,45170.0,2.0
215,Doveton,212021295,34673.0,1.0
216,Hallam,212021297,38647.0,1.0
217,Narre Warren North,212021299,42661.0,2.0
218,Endeavour Hills - North,212021453,39797.0,2.0
219,Narre Warren - North East,212021455,40810.0,2.0
220,Narre Warren - South West,212021456,39979.0,2.0
221,Cranbourne North,212031302,42468.0,2.0
222,Cranbourne South,212031303,42170.0,2.0
223,Cranbourne West,212031304,41100.0,2.0
224,Hampton Park - Lynbrook,212031305,38749.0,1.0
225,Narre Warren South (East),212031457,43478.0,2.0
226,Narre Warren South (West),212031458,42115.0,2.0
227,Clarinda - Oakleigh South,212041309,39159.0,1.0
228,Clayton South,212041310,35164.0,1.0
229,Dandenong,212041311,33659.0,1.0
230,Dandenong North,212041312,36078.0,1.0
231,Dingley Village,212041313,41534.0,2.0
232,Noble Park - East,212041459,35148.0,1.0
233,Keysborough,212041314,38974.0,1.0
234,Noble Park North,212041316,38321.0,1.0
235,Springvale,212041317,31288.0,1.0
236,Springvale South,212041318,34214.0,1.0
237,Noble Park - West,212041460,34397.0,1.0
238,Ashwood - Chadstone,212051319,40238.0,2.0
239,Clayton,212051320,31334.0,1.0
240,Glen Waverley - East,212051321,37120.0,1.0
241,Glen Waverley - West,212051322,36023.0,1.0
242,Mount Waverley - North,212051323,38204.0,1.0
243,Mount Waverley - South,212051324,38865.0,1.0
244,Mulgrave,212051325,40175.0,2.0
245,Oakleigh - Huntingdale,212051326,40547.0,2.0
246,Wheelers Hill,212051327,40338.0,2.0
247,Ardeer - Albion,213011328,35935.0,1.0
248,Cairnlea,213011329,41989.0,2.0
249,Keilor Downs,213011332,40056.0,2.0
250,Deer Park - Derrimut,213011330,41611.0,2.0
251,Delahey,213011331,40022.0,2.0
252,Kings Park (Vic.),213011333,37309.0,1.0
253,St Albans - North,213011334,34095.0,1.0
254,Altona North,213021343,40503.0,2.0
255,St Albans - South,213011335,34468.0,1.0
256,Sunshine North,213011337,35016.0,1.0
257,Sunshine,213011336,33867.0,1.0
258,Sydenham,213011339,40341.0,2.0
259,Sunshine West,213011338,36656.0,1.0
260,Taylors Lakes,213011340,41488.0,2.0
261,Altona,213021341,43640.0,2.0
262,Altona Meadows,213021342,41884.0,2.0
263,Newport,213021344,51150.0,3.0
264,Seabrook,213021345,44568.0,2.0
265,Williamstown,213021346,51787.0,3.0
